ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0019216	regulation of lipid metabolic process	8/46	431/18866	8.47524520328433e-06	0.0130942538390743	0.00913542219806648	8835/51280/8660/55908/1543/150094/3992/4199	8
GO:0043567	regulation of insulin-like growth factor receptor signaling pathway	3/46	26/18866	3.39115118509882e-05	0.0176532644427441	0.0123160911526963	3485/3484/3479	3
GO:2000353	positive regulation of endothelial cell apoptotic process	3/46	27/18866	3.80853338997373e-05	0.0176532644427441	0.0123160911526963	6347/7057/28984	3
GO:0042493	response to drug	7/46	397/18866	4.57042445119588e-05	0.0176532644427441	0.0123160911526963	3485/2353/7057/1543/2354/4609/2027	7
GO:0048009	insulin-like growth factor receptor signaling pathway	3/46	38/18866	0.000107798097938641	0.0333096122630401	0.0232390004819302	3485/3484/3479	3
GO:1904037	positive regulation of epithelial cell apoptotic process	3/46	42/18866	0.000145697381180907	0.0375170756540836	0.0261744067244296	6347/7057/28984	3
GO:0032570	response to progesterone	3/46	46/18866	0.000191345319434987	0.0422326455038651	0.0294643018197635	2353/7057/2354	3
GO:1900087	positive regulation of G1/S transition of mitotic cell cycle	3/46	49/18866	0.000231050939497923	0.0445784649000564	0.0311009014189458	1543/28984/9510	3
GO:0050678	regulation of epithelial cell proliferation	6/46	395/18866	0.000374210924760448	0.0445784649000564	0.0311009014189458	6347/7057/3479/4609/3164/28984	6
GO:1901653	cellular response to peptide	6/46	398/18866	0.000389567571079137	0.0445784649000564	0.0311009014189458	3484/8835/4929/8660/3479/3164	6
GO:1902808	positive regulation of cell cycle G1/S phase transition	3/46	60/18866	0.000421172325946903	0.0445784649000564	0.0311009014189458	1543/28984/9510	3
GO:0036109	alpha-linolenic acid metabolic process	2/46	13/18866	0.000445963937892218	0.0445784649000564	0.0311009014189458	3992/9415	2
GO:0051384	response to glucocorticoid	4/46	147/18866	0.00044773852534022	0.0445784649000564	0.0311009014189458	3485/2353/2354/3557	4
GO:2000351	regulation of endothelial cell apoptotic process	3/46	62/18866	0.000463896769120057	0.0445784649000564	0.0311009014189458	6347/7057/28984	3
GO:1903960	negative regulation of anion transmembrane transport	2/46	15/18866	0.000598473820866428	0.0445784649000564	0.0311009014189458	7057/8660	2
GO:0072577	endothelial cell apoptotic process	3/46	68/18866	0.000608467768108721	0.0445784649000564	0.0311009014189458	6347/7057/28984	3
