ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0032570	response to progesterone	3/28	46/18866	4.25827728278413e-05	0.0277455558144431	0.0206352832836419	7057/2353/2354	3
GO:0051384	response to glucocorticoid	4/28	147/18866	6.26310514998716e-05	0.0277455558144431	0.0206352832836419	3557/3485/2353/2354	4
GO:0031960	response to corticosteroid	4/28	164/18866	9.57726661154364e-05	0.0282848607260922	0.021036382101145	3557/3485/2353/2354	4
GO:0048545	response to steroid hormone	5/28	346/18866	0.000139992852180596	0.0310084167580021	0.0230619803855404	3557/7057/3485/2353/2354	5
GO:1903960	negative regulation of anion transmembrane transport	2/28	15/18866	0.000220387371306434	0.0315560318908009	0.0234692597880971	8660/7057	2
GO:0009612	response to mechanical stimulus	4/28	209/18866	0.000243226930432813	0.0315560318908009	0.0234692597880971	7057/3485/2353/2354	4
GO:0044539	long-chain fatty acid import into cell	2/28	17/18866	0.000284930310526419	0.0315560318908009	0.0234692597880971	8660/7057	2
GO:0140354	lipid import into cell	2/28	17/18866	0.000284930310526419	0.0315560318908009	0.0234692597880971	8660/7057	2
GO:0051412	response to corticosterone	2/28	20/18866	0.000396969442062055	0.0390794361852201	0.0290646632433738	2353/2354	2
GO:1902001	fatty acid transmembrane transport	2/28	23/18866	0.000527142464767671	0.0462763392760719	0.0344172370046584	8660/7057	2
GO:0032891	negative regulation of organic acid transport	2/28	24/18866	0.000574536943608116	0.0462763392760719	0.0344172370046584	8660/7057	2
GO:0043567	regulation of insulin-like growth factor receptor signaling pathway	2/28	26/18866	0.000675297468533484	0.0498594630933889	0.0370821241492948	3484/3485	2
